url,domain,name,category,source,hero_type,color_palette,typography,animations,key_sections,notable_element,date_added
https://locomotive.ca,locomotive.ca,Locomotive,Agency / Portfolio,Rimbo Top 50 #1 (2024+2025),Smooth-scroll editorial,Dark editorial,Refined serif + sans,Lenis pioneer + cinematic transitions,Hero / Projects / Culture,6x Awwwards Agency of the Year,2026-03-12
https://cuberto.com,cuberto.com,Cuberto,Agency / Portfolio,slashdev.io,Animated smooth interactive,Playful editorial,Strong type hierarchy,Every hover state perfected,Hero / Work / Services,Hover state perfection masterclass,2026-03-12
https://refokus.com,refokus.com,Refokus,Agency / Portfolio,CSSDA Top Agency 2024,Typography-driven animated text,Bold accent colors,Large-scale display typography,Modular case study reveals + parallax,Hero / Cases / Services,Typography as structural element,2026-03-12
https://obys.agency,obys.agency,Obys Agency,Agency / Portfolio,CSSDA Best Studio 2024,Dark cursor-reactive,Dark mode mastery,Expressive display,Custom cursor effects + interactive reveals,Hero / Projects / Lab,Cursor interactions widely studied,2026-03-12
https://toyfight.co,toyfight.co,ToyFight,Agency / Portfolio,Rimbo Top 50 #3 (2024+2025),3D animated playful,Bold playful branding,Expressive display,Stunning 3D + infinite scroll,Hero / Work / Team,Genuine playfulness + professionalism,2026-03-12
https://basement.studio,basement.studio,Basement Studio,Agency / Portfolio,slashdev.io,Dark editorial animated type,Edgy dark,Bold modern display,Kinetic text animations,Hero / Work / About,Dark mode mastery definition,2026-03-12
https://bruno-simon.com,bruno-simon.com,Bruno Simon,Developer Portfolio,Rimbo Top 50,Fully interactive 3D WebGL driving game,3D environment,In-world 3D text,Physics-based car navigation,Full 3D world,Most famous creative portfolio ever,2026-03-12
https://www.aristidebenoist.com,aristidebenoist.com,Aristide Benoist,Designer Portfolio,slashdev.io,Cinematic transition-forward,Editorial elegant,Beautiful editorial type,Cinematic page transitions + image treatments,Hero / Projects / About,Defines modern creative direction,2026-03-12
https://diana.lu,diana.lu,Diana Lu,Designer Portfolio (Framer),Framer galleries,Kinetic typography hero,Bright colorful,Kinetic animated type,Colorful geometric shapes + energetic motion,Hero / Work / About,Most-cited Framer portfolio,2026-03-12
https://superhuman.com,superhuman.com,Superhuman,SaaS / Email Productivity,Design blogs + framerbite,Dark animated gradient mesh,Dark mode + gradient mesh,Bold type hierarchy,Cursor-reactive gradient mesh background,Hero / Features / Pricing,Gradient mesh + cursor-reactive widely cloned,2026-03-12
https://arc.net,arc.net,Arc Browser,Product / Browser,slashdev.io,Animated product storytelling,Warm editorial colors,Personality-driven type,Smooth scroll product demos,Hero / Features / Download,Utility product with editorial personality,2026-03-12
https://clay.com,clay.com,Clay,SaaS / AI GTM,Design research,Animated AI visualization,Bold color + dynamic,Modern sans-serif,AI agent demonstrations + viz,Hero / Product / Use Cases,Marketing complex AI through visualization,2026-03-12
https://www.foam.org/talent-2024,foam.org,Foam Talent 2024,Cultural / Photography,SiteInspire,Editorial fullscreen image,Refined minimal,Minimal serif + sans,Careful whitespace + image grid,Hero / Gallery / Artists,Best editorial web design 2024,2026-03-12
https://kprverse.com,kprverse.com,KPR-verse,Art / Entertainment,Rimbo Top 50 #2,3D immersive storytelling,Rich narrative colors,Creative display,Seamless narrative scrolling + 3D,Full world-building scroll,Described as a masterpiece,2026-03-12
https://railway.app,railway.app,Railway,SaaS / Dev Infrastructure,frontend.horse,Dark animated deploy viz,Dark + purple accent,Clean sans-serif,Code visualization + glassmorphism,Hero / Products / Pricing,Elegant dark SaaS,2026-03-12
https://clerk.com,clerk.com,Clerk,SaaS / Auth,frontend.horse,Dark animated code demo,Dark + specular borders,Sans + monospace,Gradient headings + glassmorphism + code blocks,Hero / Docs / Pricing,Conversion design benchmark,2026-03-12
https://resn.co.nz,resn.co.nz,Resn,Creative Studio,slashdev.io,Interactive art installation,Experimental varied,Experimental,WebGL + Three.js + sound,Full experimental experience,Built Zentry — equally experimental own site,2026-03-12
https://yellowbirdautocenter.com,yellowbirdautocenter.com,Yellow Bird Auto Center,Auto Repair (Local),WebCitz + CyberOptik,Vintage car hero photo,Yellow brand + warm,Friendly display,Minimal — focused one-page,Hero / Services / Contact,Local business with actual design personality,2026-03-12
https://hawthorneauto.com,hawthorneauto.com,Hawthorne Auto Clinic,Auto Repair (Local),CyberOptik,Community-focused hero,Clean warm greens,Friendly sans-serif,Instagram integration + social links,Hero / Services / Reviews / Team,Female-owned local business with real personality,2026-03-12
